Key,LCSC,LCSC_USD,Mouser,Mouser_USD,Status,Source
ADG1607BCPZ,C209487,5.6,584-ADG1607BCPZ-RL7,5.12,estimated,"LCSC C209487 existe (prix non affiche, estime); Mouser/Octopart 5.12 USD, 2026-09-20"
OPA2810IDR,,,595-OPA2810IDR,5.48,verified,absent du catalogue LCSC; DigiKey 5.48 USD releve le 2026-08-30
AD8421ARZ,C392903,3.6908,584-AD8421ARZ,8.91,verified,LCSC C392903 3.6908 USD 949 en stock 2026-09-20; Mouser 8.91 USD 2026-08-30
74HC4514PW,C5615,0.42,771-74HC4514PW,1.2,estimated,prix catalogue courant
74HC154PW,C5613,0.28,771-74HC154PW-T,0.75,estimated,prix catalogue courant
SN74LVC1G04DBVR,C7477,0.04,595-SN74LVC1G04DBVR,0.45,estimated,prix catalogue courant
STM32G474RET6,C521608,5.5,511-STM32G474RET6,10.5,estimated,LCSC C521608 de 3.93 a 9.67 USD selon le listing 2026-09-20; le code C528140 du circuit ne resout pas
ESP32-S3-WROOM-1-N8,C2913198,3.3,356-ESP32S3WRM1N8,3.9,estimated,"C2913204 du circuit est la variante N8R2, 3.5746 USD verifie 2026-09-20"
TPS62130RGTR,C43590,0.7323,595-TPS62130RGTR,3.6,verified,LCSC C43590 0.7323 USD 35283 en stock 2026-09-20; le code C74016 du circuit ne resout pas
ADuM1201ARZ,C9669,1.28,584-ADUM1201ARZ,3.5,verified,LCSC C9669 1.28 a 1.77 USD 2026-08-30
AP2112K-3.3TRG1,C51118,0.095,621-AP2112K-3.3TRG1,0.45,estimated,prix catalogue courant
LP2985AIM5-5.0,C109382,0.165,595-LP2985AIM5-5.0,1.3,verified,"LCSC C109382 (LP2985A-50DBVR, meme boitier) 0.165 USD 2026-08-30"
AMS1117-3.3,C6186,0.055,,0.6,estimated,prix catalogue courant
SN74AHCT1G125DBVR,C350557,0.1,595-SN74AHCT1G125DBVR,0.55,estimated,prix catalogue courant
USBLC6-2SC6,C7519,0.09,511-USBLC6-2SC6,0.55,estimated,prix catalogue courant
FH12-16S-0.5SH(55),C596731,1.5384,798-FH12-16S-0.5SH55,1.2,verified,LCSC C596731 1.5384 USD mais rupture; obsolete chez DigiKey; le code C2837584 du circuit ne resout pas
USB4085-GF-A,C2988369,0.35,640-USB4085-GF-A,0.95,estimated,prix catalogue courant
ESP PROG@PinHeader_1x06_P2.54mm_Vertical,,0.03,,0.4,estimated,barrette 2.54
MOTION@PinHeader_2x10_P2.54mm_Vertical,,0.12,,1.0,estimated,barrette 2.54
PI ZERO@PinHeader_2x04_P2.54mm_Vertical,,0.05,,0.45,estimated,barrette 2.54
POWER@PinHeader_2x04_P2.54mm_Vertical,,0.05,,0.45,estimated,barrette 2.54
SWD@PinHeader_2x05_P1.27mm_Vertical,,0.1,,0.9,estimated,barrette 1.27
COMM_3V3: 1 ESP / 3 PI@PinHeader_1x03_P2.54mm_Vertical,,0.02,,0.25,estimated,barrette 2.54
WS2812B,C2761795,0.0616,,,verified,LCSC C2761795 0.0616 USD 165810 en stock 2026-09-20; Worldsemi absent de Mouser
AO3400A,C20917,0.0482,,0.25,verified,LCSC C20917 0.0482 USD 416760 en stock 2026-09-20
AO3401A,C15127,0.052,,0.28,estimated,meme famille que l'AO3400A
B5819W,C8598,0.013,,0.3,estimated,prix catalogue courant
BAV99W,,0.015,771-BAV99W-T/R,0.13,estimated,"code LCSC a trouver, le circuit n'en porte pas"
SS34FL,C2480216,0.035,,0.35,estimated,prix catalogue courant
BAV99,C2500,0.012,771-BAV99215,0.12,estimated,prix catalogue courant
19-217/GHC-YR1S2/3T,C72043,0.015,638-19-217-GHC-YR1S2-3T,0.15,estimated,prix catalogue courant
SS34,C8678,0.035,,0.35,estimated,prix catalogue courant
SRN6045TA-2R2M,C167219,0.25,652-SRN6045TA-2R2M,0.75,estimated,prix catalogue courant
BLM21PG221SN1D,C18305,0.03,81-BLM21PG221SN1D,0.2,estimated,prix catalogue courant
PTS645SM43SMTR92,C221929,0.06,611-PTS645SM43SMTR92,0.35,estimated,prix catalogue courant
12 mm@Buzzer_12x9.5RM7.6,,0.3,,1.5,estimated,buzzer magnetique 12 mm
2A@Fuse_1206_3216Metric,,0.05,,0.35,estimated,fusible rapide 1206
1A@Fuse_1206_3216Metric,,0.05,,0.35,estimated,fusible rapide 1206
100n@C_0603_1608Metric,,0.0025,,0.015,estimated,"X7R 50 V, tarif de reel"
1n@C_0603_1608Metric,,0.02,,0.1,estimated,"C0G suppose, filtre du frontal"
330p@C_0603_1608Metric,,0.02,,0.1,estimated,"C0G suppose, filtre du frontal"
3n3@C_0603_1608Metric,,0.02,,0.1,estimated,C0G suppose
10n@C_0603_1608Metric,,0.004,,0.04,estimated,X7R
1u@C_0603_1608Metric,,0.006,,0.05,estimated,X7R 25 V
2u2@C_0603_1608Metric,,0.008,,0.06,estimated,X7R
4u7@C_0603_1608Metric,,0.01,,0.08,estimated,X7R
10u/10V@C_1206_3216Metric,,0.018,,0.2,estimated,X7R
10u/25V@C_1206_3216Metric,,0.02,,0.22,estimated,X7R
22u/10V@C_1206_3216Metric,,0.03,,0.3,estimated,X5R
100u/10V@CP_Elec_6.3x7.7,,0.06,,0.4,estimated,electrolytique CMS
100u/25V@CP_Elec_6.3x7.7,,0.07,,0.45,estimated,electrolytique CMS
10k@R_0603_1608Metric,,0.0015,,0.012,estimated,"1 %, tarif de reel"
330R@R_0603_1608Metric,,0.0015,,0.012,estimated,"1 %, tarif de reel"
100k@R_0402_1005Metric,,0.0012,,0.012,estimated,"1 %, tarif de reel"
680R@R_0805_2012Metric,,0.0025,,0.015,estimated,"1 %, tarif de reel"
100k@R_0603_1608Metric,,0.0015,,0.012,estimated,"1 %, tarif de reel"
1k@R_0603_1608Metric,,0.0015,,0.012,estimated,"1 %, tarif de reel"
49R9@R_0603_1608Metric,,0.002,,0.014,estimated,"1 %, tarif de reel"
590R@R_0603_1608Metric,,0.002,,0.014,estimated,"1 %, tarif de reel"
750R@R_0603_1608Metric,,0.002,,0.014,estimated,"1 %, tarif de reel"
787R@R_0603_1608Metric,,0.002,,0.014,estimated,"1 %, tarif de reel"
470R@R_0603_1608Metric,,0.0015,,0.012,estimated,"1 %, tarif de reel"
10R@R_2010_5025Metric,,0.02,,0.15,estimated,"1 %, tarif de reel"
20k5@R_0603_1608Metric,,0.002,,0.014,estimated,"1 %, tarif de reel"
3.57k@R_0603_1608Metric,,0.002,,0.014,estimated,"1 %, tarif de reel"
523R@R_0603_1608Metric,,0.002,,0.014,estimated,"1 %, tarif de reel"
0R@R_0603_1608Metric,,0.0012,,0.01,estimated,"1 %, tarif de reel"
22R@R_0603_1608Metric,,0.0015,,0.012,estimated,"1 %, tarif de reel"
4k7@R_0603_1608Metric,,0.0015,,0.012,estimated,"1 %, tarif de reel"
5k1@R_0603_1608Metric,,0.0015,,0.012,estimated,"1 %, tarif de reel"
523k@R_0603_1608Metric,,0.002,,0.014,estimated,"1 %, tarif de reel"
