References,Qty,Value,Footprint,MPN,LCSC,DNP
C1,1,100u/25V,CP_Elec_6.3x7.7,,,
C10,1,10u/10V,C_1206_3216Metric,,,
C13,1,1n,C_0603_1608Metric,,,
C2,1,10u/25V,C_1206_3216Metric,,,
C11 C12 C14 C3,4,100n,C_0603_1608Metric,,,
C4,1,3n3,C_0603_1608Metric,,,
C5 C6,2,22u/10V,C_1206_3216Metric,,,
C7,1,100u/10V,CP_Elec_6.3x7.7,,,
C8,1,10n,C_0603_1608Metric,,,
C9,1,2u2,C_0603_1608Metric,,,
D1,1,SS34,D_SMA,SS34,C8678,
D2,1,SMBJ15A,D_SMB,SMBJ15A,C113962,
F1,1,1A,Fuse_1206_3216Metric,,,
F2,1,2A,Fuse_1206_3216Metric,,,
FB1,1,BLM21PG221,R_0805_2012Metric,BLM21PG221SN1D,C18305,
J1,1,12V,BarrelJack_Horizontal,DC-005-5.5x2.1,C381118,
J2,1,QUADRANT,Hirose_FH12-16S-0.5SH_1x16-1MP_P0.50mm_Horizontal,FH12-16S-0.5SH(55),C2837584,
J3,1,POWER,PinHeader_1x08_P2.54mm_Vertical,,,
J4,1,ANALOG,PinHeader_1x06_P2.54mm_Vertical,,,
J5,1,DIGITAL 0-7,PinHeader_1x08_P2.54mm_Vertical,,,
J6,1,DIGITAL 8-15,PinHeader_1x10_P2.54mm_Vertical,,,
JP1,1,5VA: 1 LDO / 3 BUCK,PinHeader_1x03_P2.54mm_Vertical,,,
L1,1,2u2,L_Bourns_SRN6045TA,SRN6045TA-2R2M,C167219,
R1 R2 R4,3,100k,R_0603_1608Metric,,,
R3,1,523k,R_0603_1608Metric,,,
R5,1,470R,R_0603_1608Metric,,,
R6,1,49R9,R_0603_1608Metric,,,
TP1,1,LED_END,TestPoint_Pad_1.5x1.5mm,,,
TP2,1,5VA,TestPoint_Pad_1.5x1.5mm,,,
TP3,1,5V,TestPoint_Pad_1.5x1.5mm,,,
TP4,1,3V3,TestPoint_Pad_1.5x1.5mm,,,
TP5,1,GND,TestPoint_Pad_1.5x1.5mm,,,
TP6,1,VIN,TestPoint_Pad_1.5x1.5mm,,,
TP7,1,ADC1,TestPoint_Pad_1.5x1.5mm,,,
U1,1,TPS62130,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,TPS62130RGTR,C74016,
U2,1,LP2985-5.0,SOT-23-5,LP2985AIM5-5.0,C129541,
U3,1,74AHCT1G125,SOT-23-5,SN74AHCT1G125DBVR,C350557,
