Comment,Designator,Footprint,LCSC Part #
SS34,D1,D_SMA,C8678
19-217/GHC-YR1S2/3T,"D2,D3,D4,D5",LED_0603_1608Metric,C72043
BAV99,D6,SOT-23,C2500
BLM21PG221SN1D,FB1,R_0805_2012Metric,C18305
FH12-16S-0.5SH(55),J1,Hirose_FH12-16S-0.5SH_1x16-1MP_P0.50mm_Horizontal,C2837584
FH12-16S-0.5SH(55),J2,Hirose_FH12-16S-0.5SH_1x16-1MP_P0.50mm_Horizontal,C2837584
FH12-16S-0.5SH(55),J3,Hirose_FH12-16S-0.5SH_1x16-1MP_P0.50mm_Horizontal,C2837584
FH12-16S-0.5SH(55),J4,Hirose_FH12-16S-0.5SH_1x16-1MP_P0.50mm_Horizontal,C2837584
USB4085-GF-A,J5,USB_C_Receptacle_GCT_USB4085,C2988369
SRN6045TA-2R2M,L1,L_Bourns_SRN6045TA,C167219
AO3401A,Q1,SOT-23,C15127
AO3400A,"Q2,Q3",SOT-23,C20917
PTS645SM43SMTR92,SW1,SW_SPST_PTS645,C221929
PTS645SM43SMTR92,SW2,SW_SPST_PTS645,C221929
PTS645SM43SMTR92,SW3,SW_SPST_PTS645,C221929
PTS645SM43SMTR92,SW4,SW_SPST_PTS645,C221929
PTS645SM43SMTR92,SW5,SW_SPST_PTS645,C221929
STM32G474RET6,U1,LQFP-64_10x10mm_P0.5mm,C528140
TPS62130RGTR,U2,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,C74016
AP2112K-3.3TRG1,U3,SOT-23-5,C51118
LP2985AIM5-5.0,U4,SOT-23-5,C129541
ESP32-S3-WROOM-1-N8,U5,ESP32-S3-WROOM-1,C2913204
ADuM1201ARZ,U6,SOIC-8_3.9x4.9mm_P1.27mm,C123211
AMS1117-3.3,U7,SOT-223-3_TabPin2,C6186
SN74AHCT1G125DBVR,U8,SOT-23-5,C350557
USBLC6-2SC6,U9,SOT-23-6,C7519
