Comment,Designator,Footprint,LCSC Part #
SS34,"D1,D41,D42,D43,D44",D_SMA,C8678
BAV99,"D11,D12,D13,D14,D21,D22,D23,D24,D3",SOT-23,C2500
SMBJ15A,D2,D_SMB,C113962
B5819W,"D31,D32,D33,D34",D_SOD-123,C8598
BLM21PG221SN1D,FB1,R_0805_2012Metric,C18305
DC-005-5.5x2.1,J1,BarrelJack_Horizontal,C381118
SRN4018TA2R2M,L1,L_Bourns-SRN4018,C2827538
AO3401A,"Q1,Q21,Q22,Q23,Q24",SOT-23,C15127
AO3400A,"Q11,Q12,Q13,Q14,Q2",SOT-23,C20917
TPS62150RGTR,U1,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,C72631
LP2985AIM5-5.0,U2,SOT-23-5,C129541
74HCT4052PW,U3,TSSOP-16_4.4x5mm_P0.65mm,C57078
AD8421ARZ,U4,SOIC-8_3.9x4.9mm_P1.27mm,C462186
OPA2810IDR,"U5,U6",SOIC-8_3.9x4.9mm_P1.27mm,C2059830
ADuM1201ARZ,U7,SOIC-8_3.9x4.9mm_P1.27mm,C123211
SN74AHCT1G125DBVR,U8,SOT-23-5,C350557
