Comment,Designator,Footprint,LCSC Part #
B5819W,"D113,D115,D123,D125,D133,D135,D143,D145",D_SOD-123,C8598
SS34FL,"D114,D124,D134,D144",D_SOD-123F,C2480216
BAV99,D3,SOT-23,C2500
FH12-16S-0.5SH(55),J1,Hirose_FH12-16S-0.5SH_1x16-1MP_P0.50mm_Horizontal,C2837584
WS2812B,"LD1,LD2,LD3,LD4,LD5,LD6,LD7,LD8",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
AO3401A,"Q1,Q112,Q122,Q132,Q142",SOT-23,C15127
AO3400A,"Q111,Q121,Q131,Q141,Q2",SOT-23,C20917
74HC4514PW,U1,TSSOP-24_4.4x7.8mm_P0.65mm,C5615
74HC154PW,U2,TSSOP-24_4.4x7.8mm_P0.65mm,C5613
AD8421ARZ,U5,SOIC-8_3.9x4.9mm_P1.27mm,C462186
SN74LVC1G04DBVR,U6,SOT-23-5,C7477
OPA2810IDR,"U7,U8",SOIC-8_3.9x4.9mm_P1.27mm,C2059830
