Designator,Mid X,Mid Y,Layer,Rotation
J1,5.000mm,97.000mm,Top,270
Q1,14.650mm,100.100mm,Top,90
Q2,12.100mm,95.630mm,Top,90
D113,17.400mm,65.225mm,Top,0
D114,17.400mm,62.825mm,Top,0
D115,17.400mm,60.425mm,Top,0
Q111,12.900mm,61.075mm,Top,0
Q112,12.900mm,64.575mm,Top,0
D123,17.400mm,72.625mm,Top,0
D124,17.400mm,70.225mm,Top,0
D125,17.400mm,67.825mm,Top,0
Q121,12.900mm,68.475mm,Top,0
Q122,12.900mm,71.975mm,Top,0
D133,17.400mm,55.575mm,Top,0
D134,17.400mm,53.175mm,Top,0
D135,17.400mm,50.775mm,Top,0
Q131,12.900mm,51.425mm,Top,0
Q132,12.900mm,54.925mm,Top,0
D143,17.400mm,80.025mm,Top,0
D144,17.400mm,77.625mm,Top,0
D145,17.400mm,75.225mm,Top,0
Q141,12.900mm,75.875mm,Top,0
Q142,12.900mm,79.375mm,Top,0
U6,2.500mm,43.415mm,Top,90
U1,10.000mm,44.875mm,Top,0
U2,10.000mm,36.275mm,Top,0
U5,5.000mm,17.275mm,Top,0
U7,12.600mm,17.275mm,Top,0
U8,5.000mm,11.475mm,Top,0
D3,15.750mm,95.630mm,Top,90
LD1,24.500mm,103.500mm,Top,0
LD2,65.500mm,62.500mm,Top,180
LD3,74.500mm,103.500mm,Top,180
LD4,115.500mm,62.500mm,Top,0
LD5,74.500mm,53.500mm,Top,180
LD6,115.500mm,12.500mm,Top,0
LD7,24.500mm,53.500mm,Top,180
LD8,65.500mm,12.500mm,Top,0
