Comment,Designator,Footprint,LCSC Part #
BAV99,"D111,D112,D121,D122,D131,D132,D141,D142,D151,D152,D161,D162,D171,D172,D181,D182,D191,D192,D201,D202,D211,D212,D221,D222,D231,D232,D241,D242,D251,D252,D261,D262,D3",SOT-23,C2500
B5819W,"D113,D123,D133,D143,D153,D163,D173,D183,D193,D203,D213,D223,D233,D243,D253,D263",D_SOD-123,C8598
SS34FL,"D114,D124,D134,D144,D154,D164,D174,D184,D194,D204,D214,D224,D234,D244,D254,D264",D_SOD-123F,C2480216
FH12-16S-0.5SH(55),J1,Hirose_FH12-16S-0.5SH_1x16-1MP_P0.50mm_Horizontal,C2837584
WS2812B,"LD1,LD10,LD11,LD12,LD13,LD14,LD15,LD16,LD17,LD18,LD19,LD2,LD20,LD21,LD22,LD23,LD24,LD25,LD26,LD27,LD28,LD29,LD3,LD30,LD31,LD32,LD4,LD5,LD6,LD7,LD8,LD9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
AO3401A,"Q1,Q112,Q122,Q132,Q142,Q152,Q162,Q172,Q182,Q192,Q202,Q212,Q222,Q232,Q242,Q252,Q262",SOT-23,C15127
AO3400A,"Q111,Q121,Q131,Q141,Q151,Q161,Q171,Q181,Q191,Q2,Q201,Q211,Q221,Q231,Q241,Q251,Q261",SOT-23,C20917
74HC4514PW,U1,TSSOP-24_4.4x7.8mm_P0.65mm,C5615
74HC154PW,U2,TSSOP-24_4.4x7.8mm_P0.65mm,C5613
AD8421ARZ,U5,SOIC-8_3.9x4.9mm_P1.27mm,C462186
SN74LVC1G04DBVR,U6,SOT-23-5,C7477
OPA2810IDR,"U7,U8",SOIC-8_3.9x4.9mm_P1.27mm,C2059830
