Designator,Mid X,Mid Y,Layer,Rotation
J1,5.000mm,189.000mm,Top,270
Q1,14.450mm,192.100mm,Top,90
Q2,17.700mm,192.100mm,Top,90
D111,8.900mm,157.875mm,Top,0
D112,8.900mm,153.575mm,Top,0
D113,17.400mm,158.575mm,Top,0
D114,17.400mm,156.775mm,Top,0
Q111,12.900mm,153.575mm,Top,0
Q112,12.900mm,157.875mm,Top,0
D121,8.900mm,165.275mm,Top,0
D122,8.900mm,160.975mm,Top,0
D123,17.400mm,165.975mm,Top,0
D124,17.400mm,164.175mm,Top,0
Q121,12.900mm,160.975mm,Top,0
Q122,12.900mm,165.275mm,Top,0
D131,8.900mm,172.675mm,Top,0
D132,8.900mm,168.375mm,Top,0
D133,17.400mm,173.375mm,Top,0
D134,17.400mm,171.575mm,Top,0
Q131,12.900mm,168.375mm,Top,0
Q132,12.900mm,172.675mm,Top,0
D141,8.900mm,116.825mm,Top,0
D142,8.900mm,112.525mm,Top,0
D143,17.400mm,117.525mm,Top,0
D144,17.400mm,115.725mm,Top,0
Q141,12.900mm,112.525mm,Top,0
Q142,12.900mm,116.825mm,Top,0
D151,8.900mm,146.425mm,Top,0
D152,8.900mm,142.125mm,Top,0
D153,17.400mm,147.125mm,Top,0
D154,17.400mm,145.325mm,Top,0
Q151,12.900mm,142.125mm,Top,0
Q152,12.900mm,146.425mm,Top,0
D161,8.900mm,139.025mm,Top,0
D162,8.900mm,134.725mm,Top,0
D163,17.400mm,139.725mm,Top,0
D164,17.400mm,137.925mm,Top,0
Q161,12.900mm,134.725mm,Top,0
Q162,12.900mm,139.025mm,Top,0
D171,8.900mm,131.625mm,Top,0
D172,8.900mm,127.325mm,Top,0
D173,17.400mm,132.325mm,Top,0
D174,17.400mm,130.525mm,Top,0
Q171,12.900mm,127.325mm,Top,0
Q172,12.900mm,131.625mm,Top,0
D181,8.900mm,124.225mm,Top,0
D182,8.900mm,119.925mm,Top,0
D183,17.400mm,124.925mm,Top,0
D184,17.400mm,123.125mm,Top,0
Q181,12.900mm,119.925mm,Top,0
Q182,12.900mm,124.225mm,Top,0
D191,8.900mm,57.875mm,Top,0
D192,8.900mm,53.575mm,Top,0
D193,17.400mm,58.575mm,Top,0
D194,17.400mm,56.775mm,Top,0
